dish_id,display_name,file,status
"anchoas","","anchoas.jpg","IMAGE_ONLY"
"arroz_con_leche","","arroz_con_leche.jpg","IMAGE_ONLY"
"boquerones","","boquerones.jpg","IMAGE_ONLY"
"calamares_a_la_romana","","calamares_a_la_romana.jpg","IMAGE_ONLY"
"champinones_al_ajillo","","champinones_al_ajillo.jpg","IMAGE_ONLY"
"cocido_madrileno","","cocido_madrileno.jpg","IMAGE_ONLY"
"dish_aceitunas_alinadas","Aceitunas aliñadas","aceitunas_alinadas.jpg","OK"
"dish_fabada_asturiana","Fabada asturiana","fabada_asturiana.jpg","OK"
"ensaladilla_rusa","","ensaladilla_rusa.jpg","IMAGE_ONLY"
"flan","","flan.jpg","IMAGE_ONLY"
"gazpacho_andaluz","","gazpacho_andaluz.jpg","IMAGE_ONLY"
"huevos_rotos","","huevos_rotos.jpg","IMAGE_ONLY"
"lentejas_estofadas","","lentejas_estofadas.jpg","IMAGE_ONLY"
"marmitako","","marmitako.jpg","IMAGE_ONLY"
"natillas","","natillas.jpg","IMAGE_ONLY"
"pan_con_tomate","","pan_con_tomate.jpg","IMAGE_ONLY"
"patatas_bravas","","patatas_bravas.jpg","IMAGE_ONLY"
"pimientos_padron","","pimientos_padron.jpg","IMAGE_ONLY"
"pollo_al_ajillo","","pollo_al_ajillo.jpg","IMAGE_ONLY"
"pote_asturiano","","pote_asturiano.jpg","IMAGE_ONLY"
"pulpo_a_la_gallega","","pulpo_a_la_gallega.jpg","IMAGE_ONLY"
"queso_manchego","","queso_manchego.jpg","IMAGE_ONLY"
"tabla_embutidos_ibericos","","tabla_embutidos_ibericos.jpg","IMAGE_ONLY"
"torrijas","","torrijas.jpg","IMAGE_ONLY"
"tortilla_patatas","","tortilla_patatas.jpg","IMAGE_ONLY"
